txn_id,customer_id,merchant_id,timestamp,amount,payment_method,bank,merchant_vertical,failure_reason_code,customer_instruments,retry_propensity,was_retried_historically,retry_success_obs,risk_score,p_success_retry_soon,p_success_retry_later,p_success_switch_method,p_success_send_link,is_weekend,hour_of_day,day_of_week,day_of_month,amount_log,txn_value_bucket
pay104539,cus65,mer108,2025-06-06 11:39:00,548.61,credit_card,bank_g,food_delivery,insufficient_funds,1,0.5228,1,1.0,0.1304,0.2286,0.4997,0.0555,0.5828,0,11,4,6,6.309208935793558,medium
pay113507,cus2117,mer13,2025-06-13 19:06:00,2845.42,upi,bank_g,food_delivery,insufficient_funds,3,0.5568,1,0.0,0.3613,0.1194,0.4193,0.1148,0.5577,0,19,4,13,7.9538173433062225,medium
pay107557,cus1884,mer43,2025-05-17 10:39:00,859.87,upi,bank_d,travel,insufficient_funds,3,0.4372,1,0.0,0.3535,0.1196,0.459,0.2893,0.2693,1,10,5,17,6.757943505803855,medium
pay110991,cus606,mer91,2025-02-15 02:12:00,1818.17,upi,bank_i,ecommerce,network_timeout,1,0.6879,1,0.0,0.2277,0.6032,0.2575,0.0111,0.2108,1,2,5,15,7.506135632095126,medium
pay111101,cus1333,mer34,2025-02-21 19:33:00,332.19,upi,bank_i,food_delivery,network_timeout,2,0.7564,1,1.0,0.136,0.5661,0.3433,0.4477,0.2715,0,19,4,21,5.808712897837516,small
pay105007,cus3735,mer54,2025-05-30 05:56:00,787.31,upi,bank_f,food_delivery,network_timeout,4,0.641,1,0.0,0.3178,0.7608,0.265,0.2119,0.2826,0,5,4,30,6.669891413511217,medium
pay106311,cus3281,mer55,2025-03-01 17:09:00,1416.97,credit_card,bank_h,education_fees,card_expired,4,0.0,0,,0.3261,0.0,0.2149,0.2704,0.0787,1,17,5,1,7.256981550309736,medium
pay115144,cus1592,mer120,2025-04-20 08:50:00,709.28,upi,bank_h,education_fees,issuer_decline,4,0.448,0,,0.1844,0.3208,0.0919,0.0585,0.1321,1,8,6,20,6.565659258490634,medium
pay116356,cus2033,mer66,2025-05-15 15:44:00,374.75,upi,bank_c,food_delivery,bank_server_timeout,2,0.8394,1,1.0,0.1332,0.7964,0.6647,0.7416,0.5647,0,15,3,15,5.928924028633084,small
pay104632,cus2040,mer67,2025-02-19 10:43:00,89.83,credit_card,bank_b,education_fees,otp_expired,3,0.6621,1,1.0,0.1888,0.3834,0.1285,0.0813,0.2907,0,10,2,19,4.508989627514122,small
pay114230,cus640,mer119,2025-04-18 06:54:00,88.57,upi,bank_h,subscription_saas,upi_server_busy,3,0.8011,1,1.0,0.1388,0.8774,0.4035,0.6401,0.346,0,6,4,18,4.495020442487104,small
pay101532,cus3977,mer79,2025-06-17 22:06:00,3734.14,debit_card,bank_h,utility_bills,network_timeout,2,0.6896,1,1.0,0.2511,0.6956,0.2749,0.4884,0.1974,0,22,1,17,8.225540580130836,medium
pay111571,cus1728,mer94,2025-05-13 18:17:00,1075.93,credit_card,bank_i,ecommerce,issuer_decline,1,0.434,0,,0.247,0.3278,0.2614,0.0,0.0241,0,18,1,13,6.981869679686624,medium
pay101936,cus3596,mer18,2025-03-09 01:37:00,126.17,netbanking,bank_a,food_delivery,network_timeout,4,0.7655,1,1.0,0.2672,0.6801,0.2582,0.3859,0.3489,1,1,6,9,4.845524774032655,small
pay106154,cus1150,mer119,2025-01-02 06:40:00,1101.93,credit_card,bank_b,subscription_saas,insufficient_funds,4,0.5053,1,0.0,0.2414,0.4756,1.0,0.3346,0.4443,0,6,3,2,7.005725553957665,medium
pay106603,cus2064,mer51,2025-02-27 10:50:00,1274.46,debit_card,bank_f,subscription_saas,network_timeout,4,0.7649,1,0.0,0.461,0.422,0.0599,0.3111,0.2645,0,10,3,27,7.1510621768392415,medium
pay100227,cus2513,mer9,2025-04-15 06:14:00,68.29,upi,bank_f,subscription_saas,issuer_decline,3,0.4181,1,0.0,0.2041,0.156,0.3937,0.1758,0.1067,0,6,1,15,4.23830059563929,small
pay105905,cus677,mer40,2025-01-27 15:07:00,25506.73,debit_card,bank_b,ecommerce,issuer_decline,1,0.4423,1,0.0,0.5359,0.1003,0.0153,0.1503,0.0,0,15,0,27,10.146736822464606,large
pay102278,cus3926,mer16,2025-03-08 08:56:00,1198.99,debit_card,bank_i,utility_bills,otp_expired,1,0.6255,1,0.0,0.313,0.5168,0.5001,0.0,0.1874,1,8,5,8,7.090068502408036,medium
pay113699,cus531,mer67,2025-06-21 15:08:00,107.73,upi,bank_c,ecommerce,insufficient_funds,2,0.5357,0,,0.2067,0.1898,0.8177,0.1983,0.4178,1,15,5,21,4.6888677450096585,small
pay101736,cus274,mer84,2025-04-01 12:27:00,9860.09,credit_card,bank_g,food_delivery,issuer_decline,2,0.5313,1,0.0,0.3645,0.1602,0.2484,0.0103,0.093,0,12,1,1,9.196351989154081,large
pay111760,cus3069,mer38,2025-02-06 20:19:00,190.6,netbanking,bank_d,ecommerce,bank_server_timeout,1,0.7972,1,1.0,0.2074,0.5458,0.276,0.2044,0.2402,0,20,3,6,5.25540986553676,small
pay100642,cus3670,mer22,2025-06-03 18:07:00,1600.89,netbanking,bank_g,food_delivery,network_timeout,4,0.7076,0,,0.3975,0.3055,0.0891,0.479,0.541,0,18,1,3,7.378939461101025,medium
pay110185,cus84,mer113,2025-03-03 20:38:00,618.76,upi,bank_c,food_delivery,card_expired,3,0.0403,0,,0.1275,0.0817,0.0227,0.0115,0.1222,0,20,0,3,6.429332306323647,medium
pay103185,cus75,mer64,2025-06-20 20:57:00,401.63,upi,bank_c,ecommerce,insufficient_funds,3,0.5735,0,,0.0514,0.0907,0.5213,0.1401,0.2509,0,20,4,20,5.998018026077824,small
pay116644,cus500,mer32,2025-06-17 15:55:00,2990.67,debit_card,bank_j,ecommerce,upi_server_busy,3,0.9116,1,1.0,0.4872,0.8491,0.3983,0.3818,0.3723,0,15,1,17,8.003587038893878,medium
pay107598,cus395,mer14,2025-01-03 18:26:00,680.73,upi,bank_h,ecommerce,bank_server_timeout,1,0.761,0,,0.2337,0.5051,0.2047,0.0359,0.4439,0,18,4,3,6.524633685028421,medium
pay102781,cus216,mer78,2025-06-18 10:59:00,280.93,debit_card,bank_e,subscription_saas,network_timeout,1,0.6996,1,1.0,0.2878,0.4578,0.2847,0.1484,0.4096,0,10,2,18,5.641658813174351,small
pay105687,cus3850,mer34,2025-02-14 03:56:00,3583.16,upi,bank_f,utility_bills,insufficient_funds,4,0.5023,1,0.0,0.3117,0.2394,0.7655,0.1323,0.3434,0,3,4,14,8.184279415955501,medium
pay113555,cus2,mer1,2025-04-09 15:06:00,998.47,debit_card,bank_b,education_fees,upi_server_busy,2,0.7924,1,0.0,0.1865,0.7688,0.3253,0.4611,0.1787,0,15,2,9,6.907225138482492,medium
pay107836,cus2515,mer22,2025-03-11 16:21:00,166.05,upi,bank_a,ecommerce,issuer_decline,2,0.4415,0,,0.1008,0.3956,0.0761,0.094,0.0,0,16,1,11,5.118293168802766,small
pay108365,cus2671,mer88,2025-05-06 21:31:00,50.0,netbanking,bank_b,travel,otp_expired,1,0.5817,1,0.0,0.098,0.2487,0.3266,0.0,0.3633,0,21,1,6,3.9318256327243257,small
pay117945,cus1379,mer43,2025-05-29 22:32:00,1698.94,debit_card,bank_i,utility_bills,bank_server_timeout,1,0.7903,1,1.0,0.3321,0.8753,0.3607,0.0,0.3683,0,22,3,29,7.438348235303808,medium
pay113111,cus1270,mer18,2025-03-10 13:51:00,851.92,debit_card,bank_e,travel,bank_server_timeout,1,0.8181,1,1.0,0.2927,0.4614,0.2809,0.0821,0.2408,0,13,0,10,6.748665756458033,medium
pay118023,cus262,mer96,2025-05-04 03:32:00,1040.33,upi,bank_b,travel,upi_server_busy,2,0.8731,1,1.0,0.2455,0.8066,0.2835,0.6117,0.3129,1,3,6,4,6.948254021262016,medium
pay110372,cus1622,mer28,2025-03-01 07:46:00,3311.22,upi,bank_h,subscription_saas,otp_expired,1,0.554,1,0.0,0.3302,0.392,0.4833,0.0,0.3307,1,7,5,1,8.105373938419872,medium
pay101228,cus3314,mer71,2025-01-28 17:20:00,222.39,credit_card,bank_a,ecommerce,otp_expired,3,0.6187,1,0.0,0.0982,0.307,0.3944,0.1788,0.2194,0,17,1,28,5.408919122875832,small
pay102271,cus1986,mer85,2025-02-27 07:10:00,319.27,upi,bank_a,education_fees,otp_expired,4,0.6534,0,,0.7617,0.4743,0.5077,0.159,0.2995,0,7,3,27,5.76916439003684,small
pay107487,cus2175,mer118,2025-04-02 22:28:00,1786.91,debit_card,bank_f,food_delivery,card_expired,4,0.0507,0,,0.3819,0.0,0.0224,0.0074,0.0861,0,22,2,2,7.488802618896113,medium
pay113729,cus348,mer116,2025-04-06 02:54:00,729.03,upi,bank_g,food_delivery,insufficient_funds,4,0.4439,0,,0.242,0.2762,0.6404,0.3157,0.4522,1,2,6,6,6.593085629188435,medium
pay101192,cus1401,mer117,2025-01-31 15:37:00,1157.75,debit_card,bank_b,subscription_saas,account_blocked,1,0.0,0,,0.1238,0.0157,0.0424,0.3039,0.0,0,15,4,31,7.055097116880065,medium
pay107752,cus3378,mer91,2025-02-07 05:29:00,1782.53,upi,bank_h,education_fees,otp_expired,3,0.6291,0,,0.3489,0.3836,0.3206,0.0933,0.3054,0,5,4,7,7.486349825515341,medium
pay105787,cus3468,mer43,2025-04-20 20:27:00,881.06,upi,bank_g,ecommerce,issuer_decline,3,0.4409,1,0.0,0.3172,0.2289,0.0413,0.1903,0.1448,1,20,6,20,6.78226008090393,medium
pay109949,cus1232,mer56,2025-04-15 18:58:00,1305.4,credit_card,bank_g,education_fees,upi_server_busy,1,0.7985,0,,0.1928,0.6169,0.206,0.1025,0.2522,0,18,1,15,7.175030541656255,medium
pay100697,cus2838,mer47,2025-04-17 05:08:00,223.5,credit_card,bank_i,subscription_saas,bank_server_timeout,4,0.7422,0,,0.1064,1.0,0.6806,0.5285,0.2328,0,5,3,17,5.413875707182309,small
pay119728,cus3109,mer54,2025-01-11 10:40:00,1859.35,upi,bank_i,ecommerce,otp_expired,3,0.5776,0,,0.2637,0.2943,0.4588,0.1279,0.3366,1,10,5,11,7.52851992104812,medium
pay117363,cus288,mer104,2025-04-20 11:31:00,3318.56,upi,bank_d,utility_bills,upi_server_busy,3,0.9104,1,0.0,0.5337,0.4866,0.6951,0.7974,0.293,1,11,6,20,8.10758752300716,medium
pay111907,cus1016,mer61,2025-01-09 04:54:00,223.62,debit_card,bank_h,utility_bills,insufficient_funds,3,0.4978,0,,0.2712,0.0418,0.6878,0.1177,0.4134,0,4,3,9,5.4144100855348904,small
pay100848,cus3234,mer61,2025-05-28 14:19:00,194.85,upi,bank_f,utility_bills,upi_server_busy,3,0.8774,1,1.0,0.1445,0.883,0.5236,0.664,0.4012,0,14,2,28,5.27734906011184,small
pay100010,cus101,mer116,2025-04-05 18:23:00,78.49,upi,bank_e,utility_bills,issuer_decline,3,0.5017,1,0.0,0.1485,0.1574,0.1643,0.2248,0.2033,1,18,5,5,4.375631227585021,small
pay116611,cus773,mer39,2025-01-22 11:57:00,61.35,upi,bank_b,ecommerce,account_blocked,3,0.0,0,,0.1454,0.0,0.0447,0.0223,0.0045,0,11,2,22,4.132763672126045,small
pay103769,cus2517,mer39,2025-03-02 00:56:00,261.06,netbanking,bank_g,ecommerce,issuer_decline,3,0.4793,1,0.0,0.1511,0.1883,0.1687,0.4094,0.2323,1,0,6,2,5.568573485176439,small
pay110156,cus3789,mer108,2025-01-20 01:12:00,1436.79,credit_card,bank_a,travel,insufficient_funds,4,0.4465,0,,0.2428,0.3119,0.5164,0.1725,0.3946,0,1,0,20,7.270862491455338,medium
pay117426,cus1567,mer14,2025-01-17 06:10:00,654.24,upi,bank_c,food_delivery,insufficient_funds,3,0.5374,0,,0.8554,0.4194,0.6541,0.1276,0.3345,0,6,4,17,6.485001580736431,medium
pay119775,cus3138,mer51,2025-05-19 13:23:00,990.17,credit_card,bank_g,ecommerce,card_expired,2,0.0205,0,,0.2478,0.0,0.0,0.0554,0.033,0,13,0,19,6.898886063513072,medium
pay116593,cus2060,mer72,2025-05-02 06:09:00,427.8,upi,bank_e,subscription_saas,card_expired,4,0.1044,0,,0.0029,0.0,0.1014,0.0613,0.0,0,6,4,2,6.060990609756592,small
pay103860,cus3676,mer56,2025-04-08 20:52:00,328.43,credit_card,bank_c,utility_bills,issuer_decline,2,0.4087,1,0.0,0.0737,0.0,0.3452,0.3455,0.204,0,20,1,8,5.797363888277731,small
pay105053,cus3633,mer36,2025-06-14 10:02:00,531.2,credit_card,bank_a,utility_bills,insufficient_funds,1,0.4882,0,,0.3045,0.2775,0.3119,0.1617,0.2827,1,10,5,14,6.277019358543589,medium
pay114261,cus2966,mer22,2025-03-23 02:20:00,491.49,debit_card,bank_d,ecommerce,upi_server_busy,4,0.9463,1,1.0,0.2925,0.8305,0.3923,0.5531,0.5473,1,2,6,23,6.199474155837475,small
pay101944,cus976,mer30,2025-03-10 10:10:00,280.11,debit_card,bank_e,subscription_saas,issuer_decline,2,0.389,1,0.0,0.1236,0.1253,0.1477,0.293,0.0918,0,10,0,10,5.638746051808365,small
pay119441,cus3692,mer21,2025-06-02 14:27:00,144.35,debit_card,bank_h,food_delivery,insufficient_funds,3,0.3993,1,0.0,0.1406,0.0209,0.8385,0.2558,0.4394,0,14,0,2,4.979144627004885,small
pay112246,cus605,mer28,2025-02-01 18:57:00,1056.53,upi,bank_i,utility_bills,insufficient_funds,4,0.5122,1,0.0,0.2731,0.1901,0.6912,0.4877,0.32,1,18,5,1,6.963691279312372,medium
pay110603,cus1438,mer47,2025-04-21 09:43:00,684.2,upi,bank_a,education_fees,upi_server_busy,2,0.8833,1,0.0,0.1866,0.6263,0.3848,0.5816,0.4847,0,9,0,21,6.5297107664499645,medium
pay105623,cus2671,mer13,2025-06-07 04:24:00,1625.96,upi,bank_i,food_delivery,insufficient_funds,1,0.5194,1,0.0,0.2911,0.3487,0.6284,0.0,0.3798,1,4,5,7,7.39446852179082,medium
pay103408,cus1195,mer41,2025-04-29 16:09:00,396.61,upi,bank_a,food_delivery,card_expired,2,0.0137,0,,0.2044,0.0,0.0,0.0761,0.0857,0,16,1,29,5.985471625371573,small
pay100713,cus2684,mer88,2025-05-18 12:09:00,356.45,debit_card,bank_g,utility_bills,insufficient_funds,1,0.5885,1,1.0,0.1179,0.2379,0.3803,0.0,0.3022,1,12,6,18,5.87899549221286,small
pay112084,cus2769,mer102,2025-05-16 02:59:00,379.36,upi,bank_d,food_delivery,otp_expired,2,0.5582,0,,0.323,0.3928,0.3521,0.2243,0.3289,0,2,4,16,5.941118172671244,small
pay112565,cus1147,mer42,2025-03-12 02:50:00,156.82,upi,bank_f,food_delivery,duplicate_payment_block,1,0.2747,0,,0.2947,0.1269,0.1928,0.2075,0.1267,0,2,2,12,5.061455143092889,small
pay117101,cus1063,mer102,2025-04-20 13:00:00,614.08,credit_card,bank_d,ecommerce,upi_server_busy,3,0.9904,1,1.0,0.3299,0.6169,0.375,0.6641,0.4547,1,13,6,20,6.421752340647492,medium
pay117780,cus357,mer34,2025-02-22 19:26:00,291.51,credit_card,bank_e,food_delivery,card_expired,1,0.0,0,,0.1018,0.0,0.1163,0.0351,0.0,1,19,5,22,5.678498854121702,small
pay108123,cus3433,mer41,2025-05-07 15:48:00,3283.82,upi,bank_b,food_delivery,bank_server_timeout,3,0.8709,1,1.0,0.3496,0.7958,0.5675,0.8153,0.3796,0,15,2,7,8.09706713489689,medium
pay114220,cus1015,mer106,2025-06-17 16:07:00,2836.52,debit_card,bank_j,subscription_saas,otp_expired,1,0.533,1,0.0,0.5167,0.3196,0.6763,0.1968,0.4494,0,16,1,17,7.9506857102229676,medium
pay112950,cus1800,mer95,2025-01-02 07:51:00,671.51,credit_card,bank_i,utility_bills,issuer_decline,4,0.4791,1,0.0,0.1001,0.1287,0.1699,0.0,0.0278,0,7,3,2,6.511016981253914,medium
pay105558,cus1704,mer64,2025-04-05 23:39:00,530.67,netbanking,bank_h,subscription_saas,account_blocked,2,0.0,0,,0.2343,0.1228,0.1023,0.0128,0.2338,1,23,5,5,6.2760229961236575,medium
pay103542,cus3618,mer112,2025-01-16 07:18:00,427.21,upi,bank_c,utility_bills,network_timeout,1,0.8092,0,,0.1985,0.6445,0.1502,0.0092,0.4286,0,7,3,16,6.059613729455989,small
pay107095,cus2418,mer41,2025-06-29 13:51:00,691.65,upi,bank_a,subscription_saas,insufficient_funds,1,0.491,0,,0.1612,0.1684,0.5208,0.0834,0.5578,1,13,6,29,6.540524821103888,medium
pay113832,cus1470,mer38,2025-06-16 02:28:00,1508.14,upi,bank_g,ecommerce,bank_server_timeout,4,0.7586,1,1.0,0.3741,0.6803,0.519,0.2811,0.3647,0,2,0,16,7.319295231137653,medium
pay118569,cus802,mer105,2025-03-29 19:55:00,1135.38,debit_card,bank_j,food_delivery,issuer_decline,1,0.535,1,0.0,0.414,0.1109,0.2789,0.0,0.0156,1,19,5,29,7.035603050388343,medium
pay100494,cus1356,mer83,2025-02-22 04:10:00,105.48,credit_card,bank_i,travel,issuer_decline,1,0.5045,1,0.0,0.1015,0.3047,0.0,0.0832,0.1185,1,4,5,22,4.667957174086856,small
pay119200,cus1569,mer7,2025-02-02 11:53:00,3204.69,netbanking,bank_b,subscription_saas,bank_server_timeout,1,0.7608,0,,0.3971,0.3317,0.3286,0.1278,0.3646,1,11,6,2,8.072682634795047,medium
pay102946,cus609,mer3,2025-04-16 23:49:00,1553.72,upi,bank_e,ecommerce,network_timeout,1,0.7499,0,,0.4032,0.8627,0.1547,0.2203,0.0536,0,23,2,16,7.349050744091129,medium
pay108275,cus3342,mer43,2025-06-04 01:48:00,313.96,upi,bank_a,utility_bills,bank_server_timeout,4,0.7671,0,,0.1219,0.756,0.489,0.5671,0.2879,0,1,2,4,5.752445646635482,small
pay107134,cus328,mer31,2025-01-03 21:07:00,8662.18,netbanking,bank_i,travel,insufficient_funds,1,0.4813,1,1.0,0.4201,0.3581,0.5626,0.029,0.3439,0,21,4,3,9.066837139695751,large
pay106740,cus1060,mer77,2025-01-01 10:18:00,404.1,debit_card,bank_c,food_delivery,insufficient_funds,3,0.4874,0,,0.2952,0.329,0.6499,0.1384,0.3277,0,10,2,1,6.004133950208645,small
pay107025,cus2411,mer76,2025-06-27 19:54:00,279.17,netbanking,bank_d,ecommerce,network_timeout,3,0.7742,1,0.0,0.3136,0.4802,0.2185,0.4583,0.2361,0,19,4,27,5.635396561789737,small
