txn_id,customer_id,amount,payment_method,failure_reason_code,customer_instruments,bank
MERCH0,c0,666.12,credit_card,network_timeout,1,bank_b
MERCH1,c1,951.93,credit_card,duplicate_payment_block,3,bank_b
MERCH2,c2,478.68,upi,card_expired,3,bank_j
MERCH3,c3,228.44,upi,duplicate_payment_block,2,bank_d
MERCH4,c4,385.44,credit_card,duplicate_payment_block,1,bank_a
MERCH5,c5,202.36,debit_card,card_expired,3,bank_b
MERCH6,c6,714.92,credit_card,issuer_decline,2,bank_d
MERCH7,c7,3321.79,debit_card,bank_server_timeout,4,bank_d
MERCH8,c8,368.47,upi,card_expired,3,bank_b
MERCH9,c9,315.9,upi,bank_server_timeout,2,bank_j
MERCH10,c10,1197.28,debit_card,account_blocked,1,bank_j
MERCH11,c11,1020.72,netbanking,duplicate_payment_block,3,bank_f
MERCH12,c12,754.83,debit_card,issuer_decline,2,bank_j
MERCH13,c13,217.77,debit_card,network_timeout,3,bank_d
MERCH14,c14,642.2,credit_card,insufficient_funds,4,bank_a
MERCH15,c15,1532.05,netbanking,bank_server_timeout,2,bank_b
MERCH16,c16,132.55,debit_card,upi_server_busy,4,bank_a
MERCH17,c17,384.08,credit_card,otp_expired,3,bank_j
MERCH18,c18,67.93,debit_card,duplicate_payment_block,3,bank_b
MERCH19,c19,141.54,credit_card,card_expired,4,bank_d
MERCH20,c20,72.96,debit_card,card_expired,4,bank_b
MERCH21,c21,501.64,credit_card,card_expired,4,bank_j
MERCH22,c22,145.34,credit_card,insufficient_funds,4,bank_a
MERCH23,c23,921.05,credit_card,upi_server_busy,1,bank_f
MERCH24,c24,802.8,netbanking,duplicate_payment_block,2,bank_j
MERCH25,c25,531.49,upi,upi_server_busy,4,bank_f
MERCH26,c26,50.0,credit_card,bank_server_timeout,2,bank_j
MERCH27,c27,348.48,debit_card,issuer_decline,1,bank_j
MERCH28,c28,627.53,debit_card,account_blocked,3,bank_h
MERCH29,c29,762.02,upi,insufficient_funds,4,bank_h
MERCH30,c0,106.04,upi,duplicate_payment_block,3,bank_f
MERCH31,c1,374.91,debit_card,otp_expired,4,bank_f
MERCH32,c2,205.57,netbanking,card_expired,3,bank_h
MERCH33,c3,251.99,upi,network_timeout,1,bank_d
MERCH34,c4,2375.77,debit_card,account_blocked,4,bank_j
MERCH35,c5,252.39,netbanking,network_timeout,2,bank_j
MERCH36,c6,639.68,netbanking,network_timeout,4,bank_d
MERCH37,c7,1922.28,upi,issuer_decline,4,bank_d
MERCH38,c8,330.19,upi,network_timeout,4,bank_h
MERCH39,c9,581.7,credit_card,account_blocked,1,bank_j
MERCH40,c10,759.42,upi,insufficient_funds,4,bank_a
MERCH41,c11,718.05,debit_card,insufficient_funds,3,bank_a
MERCH42,c12,152.92,debit_card,account_blocked,2,bank_b
MERCH43,c13,728.78,netbanking,upi_server_busy,4,bank_d
MERCH44,c14,3396.8,upi,otp_expired,4,bank_a
MERCH45,c15,103.9,credit_card,insufficient_funds,3,bank_f
MERCH46,c16,1865.45,credit_card,duplicate_payment_block,1,bank_f
MERCH47,c17,767.57,upi,bank_server_timeout,3,bank_j
MERCH48,c18,308.04,netbanking,upi_server_busy,1,bank_h
MERCH49,c19,7335.64,netbanking,duplicate_payment_block,1,bank_b
